datetime_ist,station,model_name,aqi
2026-02-23 16:30:00,station_2,TTM,128.09466552734375
2026-02-23 17:30:00,station_2,TTM,126.5696792602539
2026-02-23 18:30:00,station_2,TTM,125.17926788330078
2026-02-23 19:30:00,station_2,TTM,122.18540954589844
2026-02-23 20:30:00,station_2,TTM,126.7853775024414
2026-02-23 21:30:00,station_2,TTM,126.38802337646484
2026-02-23 22:30:00,station_2,TTM,126.96406555175781
2026-02-23 23:30:00,station_2,TTM,127.18611907958984
2026-02-24 00:30:00,station_2,TTM,121.94461059570312
2026-02-24 01:30:00,station_2,TTM,124.20865631103516
2026-02-23 14:30:00,station_3,Google_API,107
2026-02-23 15:30:00,station_3,Google_API,107
2026-02-23 16:30:00,station_3,Google_API,106
2026-02-23 17:30:00,station_3,Google_API,106
2026-02-23 18:30:00,station_3,Google_API,106
2026-02-23 19:30:00,station_3,Google_API,105
2026-02-23 20:30:00,station_3,Google_API,105
2026-02-23 21:30:00,station_3,Google_API,110
2026-02-23 22:30:00,station_3,Google_API,111
2026-02-23 23:30:00,station_3,Google_API,109
2026-02-24 00:30:00,station_3,Google_API,103
2026-02-24 01:30:00,station_3,Google_API,99
2026-02-24 02:30:00,station_3,Google_API,100
2026-02-23 14:30:00,station_3,LSTM,79.93555450439453
2026-02-23 15:30:00,station_3,LSTM,96.49799346923828
2026-02-23 16:30:00,station_3,LSTM,113.21305084228516
2026-02-23 17:30:00,station_3,LSTM,123.19112396240234
2026-02-23 18:30:00,station_3,LSTM,127.34246063232422
2026-02-23 19:30:00,station_3,LSTM,124.6678466796875
2026-02-23 20:30:00,station_3,LSTM,117.51063537597656
2026-02-23 21:30:00,station_3,LSTM,110.0664291381836
2026-02-23 22:30:00,station_3,LSTM,105.20645141601562
2026-02-23 23:30:00,station_3,LSTM,102.36051940917969
2026-02-24 00:30:00,station_3,LSTM,104.21865844726562
2026-02-24 01:30:00,station_3,LSTM,106.84569549560547
2026-02-23 14:30:00,station_3,TTM,116.39106750488281
2026-02-23 15:30:00,station_3,TTM,117.99287414550781
2026-02-23 16:30:00,station_3,TTM,121.44121551513672
2026-02-23 17:30:00,station_3,TTM,120.36336517333984
2026-02-23 18:30:00,station_3,TTM,119.35943603515625
2026-02-23 19:30:00,station_3,TTM,117.00102233886719
2026-02-23 20:30:00,station_3,TTM,120.49517059326172
2026-02-23 21:30:00,station_3,TTM,120.27364349365234
2026-02-23 22:30:00,station_3,TTM,120.75521850585938
2026-02-23 23:30:00,station_3,TTM,120.72883605957031
2026-02-24 00:30:00,station_3,TTM,116.87277221679688
2026-02-24 01:30:00,station_3,TTM,118.59944152832031
